"";"value";"experimentVariant"
"1";9,77311267424938;"Treatment"
"2";9,31124557661141;"Treatment"
"3";11,1728280618157;"Treatment"
"4";11,6245100581039;"Treatment"
"5";10,4623312287876;"Treatment"
"6";10,3811435221337;"Treatment"
"7";11,5479241097813;"Treatment"
"8";11,6017357847944;"Treatment"
"9";10,1714644311471;"Treatment"
"10";12,1911555744297;"Treatment"
"11";9,9463312297429;"Treatment"
"12";10,4082315476769;"Treatment"
"13";10,2981263130825;"Treatment"
"14";8,45787472876029;"Treatment"
"15";10,3728515802014;"Treatment"
"16";8,86113087495187;"Treatment"
"17";8,15544352087305;"Treatment"
"18";9,50553022093334;"Treatment"
"19";12,0871720178799;"Treatment"
"20";11,0155045802208;"Treatment"
"21";10,5031202525823;"Treatment"
"22";11,214089057435;"Treatment"
"23";10,5252288354178;"Treatment"
"24";10,9574326616122;"Treatment"
"25";10,6649746691144;"Treatment"
"26";11,8351477032522;"Treatment"
"27";8,01676802196707;"Treatment"
"28";10,6459558657132;"Treatment"
"29";9,89258152410165;"Treatment"
"30";8,70862752490823;"Treatment"
"31";10,7433567577459;"Treatment"
"32";8,15840003769145;"Treatment"
"33";10,4180391674975;"Treatment"
"34";10,6797637171593;"Treatment"
"35";9,98378172344761;"Treatment"
"36";10,4223471740428;"Treatment"
"37";10,943334945722;"Treatment"
"38";11,9055923607918;"Treatment"
"39";11,6897132670466;"Treatment"
"40";10,3998844616831;"Treatment"
"41";11,0380074046673;"Treatment"
"42";9,32285276870924;"Treatment"
"43";9,97548282350801;"Treatment"
"44";10,1809922318784;"Treatment"
"45";8,81630288520529;"Treatment"
"46";10,3547566744559;"Treatment"
"47";11,1051339131708;"Treatment"
"48";11,0421245887391;"Treatment"
"49";10,1343895134533;"Treatment"
"50";10,7379886830565;"Treatment"
"51";10,3804953740268;"Control"
"52";9,54686666784264;"Control"
"53";11,0882146509904;"Control"
"54";10,1472740570122;"Control"
"55";9,78980767524929;"Control"
"56";8,73578048192978;"Control"
"57";10,7806383791004;"Control"
"58";11,1393983918781;"Control"
"59";10,0675199319953;"Control"
"60";9,53130741186623;"Control"
"61";11,6019437103945;"Control"
"62";12,389786234284;"Control"
"63";9,58267213180535;"Control"
"64";10,5378674851477;"Control"
"65";9,01993741613367;"Control"
"66";8,94842155753232;"Control"
"67";9,17231178971289;"Control"
"68";12,1558070614418;"Control"
"69";10,1560934694132;"Control"
"70";10,2700535743602;"Control"
"71";9,7736902808003;"Control"
"72";10,2008203623341;"Control"
"73";10,3507972292203;"Control"
"74";9,45995070491857;"Control"
"75";11,1479068291969;"Control"
"76";10,1152619181507;"Control"
"77";9,96717734565128;"Control"
"78";10,5231201980007;"Control"
"79";9,83353253784834;"Control"
"80";10,6807432731733;"Control"
"81";8,87535930869717;"Control"
"82";10,5679610657059;"Control"
"83";10,1991485435955;"Control"
"84";9,90197009615303;"Control"
"85";11,6371877317264;"Control"
"86";9,01032810426802;"Control"
"87";9,21910793851577;"Control"
"88";11,2263662485823;"Control"
"89";9,65938568546489;"Control"
"90";9,84253515168427;"Control"
"91";8,75261510863016;"Control"
"92";10,392660866535;"Control"
"93";11,1019488266369;"Control"
"94";9,49197989560515;"Control"
"95";8,31031501249372;"Control"
"96";8,78435095027286;"Control"
"97";10,5508934132957;"Control"
"98";10,0990560108317;"Control"
"99";9,49269600637405;"Control"
"100";8,51186119058183;"Control"
"101";8,62258775872863;"Control"
"102";8,01854769407949;"Control"
"103";10,2808274454833;"Control"
"104";10,6922160535263;"Control"
"105";10,9623961647586;"Control"
"106";9,36472220404069;"Control"
"107";11,0862981076737;"Control"
"108";10,3201316089802;"Control"
"109";10,7097404054181;"Control"
"110";9,92077900719597;"Control"
"111";9,47429457527517;"Control"
